B01083,82,In-Text,59572,1.774,1
A04512,107,In-Text,12444,0.282,1
A06460,105,In-Text,12444,0.282,1
A72490,215,In-Text,61311,3.851,1
A03519,332,In-Text,61311,3.053,1
A08445,65,In-Text,61311,2.929,1
A08445,662,In-Text,61311,2.929,1
A05156,644,In-Text,61311,1.759,1
A09505,1164,In-Text,40134,9.037,1
A05152,33,In-Text,40134,8.966,1
A08560,71,In-Text,40134,8.535,1
A72490,624,In-Text,40134,8.463,1
A06508,9,In-Text,40134,8.178,1
A04510,75,In-Text,40134,7.795,1
A04598,271,In-Text,40134,7.721,1
A16698,136,In-Text,40134,7.589,1
A06532,166,In-Text,40134,7.395,1
A08560,162,In-Text,40134,7.395,1
A69147,339,In-Text,40134,7.324,1
A08560,197,In-Text,40134,7.222,1
A06532,203,In-Text,40134,7.222,1
A69147,446,In-Text,40134,7.196,1
A03519,613,In-Text,40134,7.179,1
A16698,1562,In-Text,40134,7.176,1
A08560,93,In-Text,40134,7.122,1
A06532,100,In-Text,40134,7.122,1
A16945,371,In-Text,40134,7.092,1
B01041,158,In-Text,40134,7.084,1
A16091,45,In-Text,3820,8.675,1
A16091,46,In-Text,3820,5.926,1
A21119,1097,In-Text,3820,1.818,1
A04510,176,In-Text,3820,1.547,1
A16091,75,In-Text,3820,1.376,1
A16091,46,In-Text,25135,7.906,1
A16091,45,In-Text,25135,4.662,1
A16091,83,In-Text,25135,4.421,1
A16091,82,In-Text,25135,3.821,1
A16091,135,In-Text,25135,3.744,1
A16091,47,In-Text,5952,8.891,1
A16091,48,In-Text,5952,1.961,1
A68350,218,In-Text,5952,1.923,1
A05397,220,In-Text,5952,1.923,1
A21119,2284,In-Text,5952,1.822,1
A07572,1019,In-Text,35269,6.204,1
A07572,2207,In-Text,35269,6.204,1
A16091,768,In-Text,35269,5.917,1
A07584,2772,In-Text,35269,4.742,1
A07572,1006,In-Text,35269,3.54,1
A07572,2194,In-Text,35269,3.54,1
A16091,795,In-Text,35269,3.439,1
A07584,2811,In-Text,35269,2.0,1
A72490,240,In-Text,22672,3.18,1
A14014,237,In-Text,22672,0.924,1
A04598,208,In-Text,22672,0.798,1
A03519,721,In-Text,22672,0.456,1
A09505,464,In-Text,25556,4.365,1
A11925,98,In-Text,25556,2.221,1
A68214,958,In-Text,25556,2.101,1
A17636,351,In-Text,25556,2.014,1
A00356,116,In-Text,25556,1.575,1
A11925,67,In-Text,25556,1.528,1
A14813,447,In-Text,25556,1.278,1
A14014,216,In-Text,25556,1.128,1
A21119,3860,In-Text,25556,0.468,1
A11925,204,In-Text,25556,0.411,1
A11925,55,In-Text,25556,0.308,1
A69147,36,In-Text,25556,0.203,1
A21119,3247,In-Text,25556,0.005,1
A14813,495,In-Text,40851,4.6,1
A16698,1027,In-Text,40851,0.52,1
A09505,246,In-Text,40851,0.246,1
A09505,1160,In-Text,70680,1.869,1
A16698,132,In-Text,70680,1.061,1
A68350,124,In-Text,44157,8.032,1
A05397,33,In-Text,44157,8.032,1
A05397,125,In-Text,44157,8.032,1
A68350,34,In-Text,44157,8.032,1
A16698,32,In-Text,44157,5.809,1
A05397,125,In-Text,56217,6.28,1
A68350,34,In-Text,56217,6.28,1
A68350,124,In-Text,56217,6.28,1
A05397,33,In-Text,56217,6.28,1
A68350,126,In-Text,56217,5.061,1
A16091,447,In-Text,3878,7.261,1
A03519,56,In-Text,3878,7.254,1
A16698,64,In-Text,3878,6.337,1
A16698,32,In-Text,3878,5.222,1
B00958,446,In-Text,3878,5.071,1
A68350,53,In-Text,46451,5.636,1
A16698,32,In-Text,46451,4.501,1
A03519,752,In-Text,46451,3.672,1
A02883,81,In-Text,46451,3.06,1
A02883,406,In-Text,46451,3.06,1
A03519,648,In-Text,22483,2.117,1
B00958,104,In-Text,22483,1.751,1
A00356,254,In-Text,22483,1.71,1
A06460,467,In-Text,22483,1.114,1
A16590,137,In-Text,22483,0.988,1
A21119,2396,In-Text,18679,4.657,1
A21119,2503,In-Text,18679,1.371,1
A22722,877,In-Text,18679,1.321,1
A21119,2504,In-Text,18679,0.641,1
A16590,307,In-Text,9466,2.902,1
A08445,724,In-Text,33549,8.282,1
A08444,523,In-Text,33549,8.282,1
A08445,127,In-Text,33549,8.282,1
A68214,802,In-Text,33549,8.124,1
A08444,671,In-Text,33549,7.257,1
A05142,1707,Note 0,33549,0.054,1
A09915,286,In-Text,61759,6.646,1
A03519,271,In-Text,61759,4.966,1
A04511,310,In-Text,61759,4.817,1
B01041,421,In-Text,61759,4.799,1
A03519,635,In-Text,61759,4.686,1
A19564,1408,In-Text,61759,4.159,1
A05152,154,In-Text,61759,3.889,1
A68325,126,In-Text,61759,3.801,1
A03519,353,In-Text,61759,3.726,1
B01041,448,In-Text,61759,3.693,1
A19564,1532,In-Text,61759,3.589,1
A03519,637,In-Text,61759,3.349,1
