B00958,357,Note 1,0,John 13,,Iohn 13
B00958,358,Note 0,0,John 15,,Iohn 15
B00958,358,Note 1,0,John 20,,Iohn 20
B00958,363,Note 0,0,John 14,,Iohn 14
B00958,363,Note 1,0,John 20,,Iohn 20
B00958,363,Note 2,0,Acts 2,,Act 2
B00958,365,Note 0,0,John 14,,Iohn 14
B00958,366,Note 0,0,Matthew 28,,Math 28
B00958,387,Note 0,0,Leviticus 13,,Leuit 13
B00958,387,Note 1,0,Deuteronomy 17,,Deut 17
B00958,388,Note 0,0,John 20,,Iohn 20
B00958,388,Note 1,0,John 12,,Iohn 12
B00958,389,Note 0,0,1 Timothy 1,,1 Timo 1
B00958,389,Note 1,0,Ecclesiastes 18,,Eccle 18
B00958,390,Note 0,0,John 15,,Iohn 15
B00958,397,Note 1,0,Genesis 7.8,,Gene 7 8
B00958,398,Note 0,0,Genesis 7.8,,"Gen 7 , 8"
B00958,400,Note 1,0,Isaiah 5,,Esai 5
B00958,411,Note 0,0,Luke 15,,Luce 15
B00958,412,Note 0,0,Psalms 83,,Psal 83
B00958,420,Note 0,0,John 13,,Iohn 13
B00958,422,Note 0,0,Luke 10,,Luce 10
B00958,423,Note 0,0,Ephesians 4,,Ephes 4
B00958,432,Note 0,0,John 21,,Ioan 21
B00958,458,Note 0,0,Matthew 16,,Math 16
B00958,479,Note 0,0,John 20,,Iohn 20
B00958,479,Note 1,0,Matthew 18,,Math 18
B00958,482,Note 0,0,Acts 2,,Actes 2
B00958,483,Note 0,0,Acts 3,,Actes 3
B00958,484,Note 0,0,Acts 4.5; Acts 4.6,,Act 4 5 6
B00958,503,Note 0,0,Acts 8,,Act 8
B00958,565,Note 0,0,1 Corinthians 11,,1 Cor 11
B00958,568,Note 0,0,John 6,,Iohn 6
B00958,581,Note 0,0,Mark 10,,Marke 10
B00958,582,Note 0,0,John 7,,Iohn 7
B00958,584,Note 0,0,John 12,,Iohn 12
B00958,603,Note 0,0,Genesis 18,,Gene 18
B00958,606,Note 0,0,Exodus 3,,Exod 3
B00958,607,Note 0,0,Joshua 5,,Iosue 5
B00958,614,Note 2,0,Exodus 20,,Exo 20
B00958,617,Note 0,0,Matthew 17,,Math 17
B00958,623,Note 0,0,John 6,,Iohn 6
B00958,624,Note 0,0,John 6,,Iohn 6
B00958,626,Note 0,0,Matthew 11,,Math 11
B00958,636,Note 0,0,Romans 4,,Roma 4
B00958,639,Note 0,0,2 Corinthians 10,,2 Corin 10
B00958,642,Note 0,0,1 Corinthians 1,,1 Corin 1
B00958,648,Note 0,0,1 Corinthians 11,,1 Corin 11
B00958,650,Note 0,0,Psalms 110,,Psal 110
B00958,655,Note 0,0,Matthew 26,,Math 26
B00958,657,Note 0,0,Mark 14,,Mar 14
B00958,663,Note 0,0,1 Corinthians ^,,1 Corin ^
B00958,663,Note 1,0,John 6,,Iohn 6
B00958,666,Note 0,0,1 Corinthians 15,,1 Corin 15
B00958,668,Note 0,0,Galatians 6,,Galath 6
B00958,682,Note 0,0,John 6,,Iohn 6
B00958,703,Note 0,0,John 6,,Iohn 6
B00958,706,Note 0,0,1 Corinthians 11,,1 Corin 11
B00958,710,Note 0,0,1 John 4,,1 Iohn 4
B00958,726,Note 0,0,John 10.15,,Iohn 10 15
B00958,726,Note 1,0,1 Corinthians 10,,1 Corin 10
B00958,732,Note 0,0,John 16,,Iohn 16
B00958,733,Note 0,0,John 10; John 16,,Iohn 10 & 16
B00958,734,Note 0,0,John 2; John 16,,Iohn 2 & 16
B01041,9,Note 0,0,Matthew 21,,Mat 21
B01041,9,Note 1,0,Psalms 2,,Psal 2
B01041,11,Note 0,0,Proverbs 21,,Pro 21
B01041,20,Note 1,0,Matthew 22,,Math 22
B01041,31,Note 0,0,Ecclesiastes 32,,Ecclesi 32
B01041,33,Note 0,0,1 John 4,,1 Ioan 4
B01041,34,Note 0,0,2 Kings 10,,2 Reg 10
B01041,37,Note 0,0,Kings 3.12,,3 Reg 3 12
B01041,40,Note 0,0,2 Kings 16,,2 Reg 16
B01041,47,Note 0,0,Luke 9,,Luc 9
B01041,59,Note 0,0,Matthew 1^,,Mat 1^
B01041,63,Note 1,0,Matthew 21,,Math 21
B01041,70,Note 0,0,Luke 23,,Luc 23
B01041,77,Note 0,0,Luke 13,,Luc 13
B01041,89,Note 0,0,Matthew 18,,Math 18
B01041,94,Note 0,0,Matthew 5,,Math 5
B01041,101,Note 0,0,1 Corinthians 1,,1 Cor 1
B01041,105,Note 0,0,John 13,,Ioan 13
