B00958,2,0,0,Psalms 119,,Psalme 119
B00958,13,0,0,Genesis 2,,Genesis 2
B00958,16,1,0,Genesis 2,,Genesis 2
B00958,24,0,0,Genesis ^,,Genesis ^
B00958,31,0,0,Genesis 3,,Genes 3
B00958,37,0,0,1 Peter 5,,1 Peter 5
B00958,46,0,0,Romans 5,,Roma 5
B00958,57,0,0,Genesis 3,,Gene 3
B00958,58,0,0,Genesis 18,,Gene 18
B00958,58,1,0,Judith 3; Judith 9,,Iudith 3 & 9
B00958,58,1,1,Job 13,,Iob 13
B00958,61,0,0,Isaiah 11,,Esai 11
B00958,63,0,0,Job 14,,Iob 14
B00958,65,0,0,Genesis 5; Genesis 7,,Gene 5 & 7
B00958,68,0,0,Romans 3,,Roma 3
B00958,69,0,0,Galatians 3,,Gala 3
B00958,69,1,0,Romans 11,,Roma 11
B00958,69,2,0,Galatians 3,,Gala 3
B00958,70,0,0,Proverbs 24,,Pro 24
B00958,71,1,0,Ecclesiastes 7,,Eccles 7
B00958,71,2,0,Psalms 2,,Psal 2
B00958,74,0,0,Psalms 19,,Psal 19
B00958,76,0,0,Psalms 2,,Psal 2
B00958,78,0,0,Matthew 9,,Math 9
B00958,95,0,0,Luke 5,,Luke 5
B00958,95,1,0,Psalms 160,,Psal 160
B00958,95,2,0,Luke 15,,Luce 15
B00958,96,0,0,Baruch 2,,Baruch 2
B00958,98,0,0,Daniel 9,,Daniel 9
B00958,103,0,0,1 Peter 2,,1 Peter 2
B00958,105,0,0,Psalms 129,,Psal 129
B00958,109,0,0,1 Peter 2,,1 Peter 2
B00958,112,0,0,1 John 3,,1 Iohn 3
B00958,114,0,0,Matthew 1,,Math 1
B00958,134,0,0,Hebrews 2,,Heb 2
B00958,137,0,0,Genesis 3,,Gene 3
B00958,139,0,0,Genesis 22,,Genes 22
B00958,149,0,0,Romans 2,,Roma 2
B00958,152,0,0,John 1,,Iohn 1
B00958,165,0,0,Mark 16,,Mar 16
B00958,166,0,0,Galatians 3,,Gala 3
B00958,171,0,0,John 16,,Ioh 16
B00958,171,1,0,Matthew 28,,Math 28
B00958,171,2,0,Matthew 16,,Math 16
B00958,173,0,0,Timothy 1,,Timoth 1
B00958,173,1,0,Matthew 5,,Math 5
B00958,174,0,0,2 Peter 1,,2 Peter 1
B00958,177,0,0,2 Peter 3,,2 Peter 3
B00958,179,0,0,1 Timothy 9,,1 Timo 9
B00958,180,0,0,2 Timothy 3,,2 Timothei 3
B00958,188,0,0,Matthew 7,,Math 7
B00958,197,0,0,Matthew 22,,Math 22
B00958,201,0,0,John 3; John 4,,Iohn 3 & 4
B00958,227,0,0,John 5,,Iohn 5
B00958,228,0,0,Matthew 26,,Math 26
B00958,232,0,0,Isaiah 53,,Esai 53
B00958,232,0,1,Acts 8,,Act 8
B00958,236,0,0,John 14,,Iohn 14
B00958,245,0,0,1 Peter 2,,1 Peter 2
B00958,263,0,0,Romans 13,,Roma 13
B00958,264,0,0,1 Timothy 5,,1 Timo 5
B00958,275,0,0,Matthew 5,,Math 5
B00958,284,0,0,Matthew 11,,Mathe 11
B00958,291,0,0,Matthew 5,,Math 5
B00958,297,0,0,Matthew 5,,Math 5
B00958,306,0,0,Matthew 3,,Math 3
B00958,306,1,0,Galatians 2,,Gala 2
B00958,306,2,0,Luke 24,,Luc 24
B00958,315,0,0,Ephesians 4,,Ephes 4
B00958,316,0,0,Canticles 4,,Cantic 4
B00958,316,1,0,Ephesians 5,,Ephes 5
B00958,316,2,0,Matthew 20,,Math 20
B00958,316,3,0,Matthew 25,,Math 25
B00958,317,0,0,Psalms 25,,Psalm 25
B00958,321,0,0,Matthew 5,,Math 5
B00958,322,0,0,Matthew 18,,Math 18
B00958,322,1,0,Acts 20,,Actu 20
B00958,335,0,0,1 Corinthians 3,,1 Cor 3
B00958,336,0,0,Ephesians 2,,Ephes 2
B00958,336,1,0,Ephesians 4,,Ephes 4
B00958,337,0,0,1 Timothy 4,,1 Timot 4
B00958,337,0,1,Titus 1,,Tit 1
B00958,337,1,0,Titus 20.2,,Tit 20 2
B00958,340,0,0,Matthew 16,,Math 16
B00958,341,0,0,Matthew 13,,Math 13
B00958,343,0,0,Matthew 23,,Math 23
B00958,351,0,0,Romans 12,,Roma 12
B00958,356,0,0,Matthew 10,,Math 10
B00958,357,0,0,Matthew 10,,Mathe 10
B00958,357,1,0,John 13,,Iohn 13
B00958,358,0,0,John 15,,Iohn 15
B00958,358,1,0,John 20,,Iohn 20
B00958,363,0,0,John 14,,Iohn 14
B00958,363,1,0,John 20,,Iohn 20
B00958,363,2,0,Acts 2,,Act 2
B00958,365,0,0,John 14,,Iohn 14
B00958,366,0,0,Matthew 28,,Math 28
B00958,387,0,0,Leviticus 13,,Leuit 13
B00958,387,1,0,Deuteronomy 17,,Deut 17
B00958,388,0,0,John 20,,Iohn 20
B00958,388,1,0,John 12,,Iohn 12
B00958,389,0,0,1 Timothy 1,,1 Timo 1
B00958,389,1,0,Ecclesiastes 18,,Eccle 18
B00958,390,0,0,John 15,,Iohn 15
B00958,397,1,0,Genesis 7.8,,Gene 7 8
B00958,398,0,0,Genesis 7.8,,"Gen 7 , 8"
B00958,400,1,0,Isaiah 5,,Esai 5
B00958,411,0,0,Luke 15,,Luce 15
B00958,412,0,0,Psalms 83,,Psal 83
B00958,420,0,0,John 13,,Iohn 13
B00958,422,0,0,Luke 10,,Luce 10
B00958,423,0,0,Ephesians 4,,Ephes 4
B00958,432,0,0,John 21,,Ioan 21
B00958,458,0,0,Matthew 16,,Math 16
B00958,479,0,0,John 20,,Iohn 20
B00958,479,1,0,Matthew 18,,Math 18
