B00958,215,0,Matthew 5,,Mathew 5
B00958,228,0,John 5,,Iohn 5
B00958,229,0,Matthew 26,,Math 26
B00958,577,0,Mark 10,,Marke 10
B00958,578,0,Luke 15,,Luke 15
B00958,655,0,Matthew 26,,Mathew 26
B00958,726,0,John 10; John 15,,Iohn 10 & 15
B00958,728,0,Corinthians 10,,Corin 10
B00958,734,0,John 2; John 16,,Iohan 2 & 16
B01041,0,0,Matthew 22,,Math 22
B01041,29,0,Matthew 22,,Mat 22
B01041,287,0,John 1,,Iohn 1
A00356,412,0,Psalms 72,,psal 72
A00393,5,0,Matthew 11,,Matthew 11
A00393,91,0,Matthew ***.*,,mat *** *
A00609,131,0,Ephesians 5; Ephesians 6,,Ephesians 5 & 6
A00789,253,0,Matthew 5,,Math 5
A00918,18,0,Jeremiah 1,,Ierom 1
A00918,131,0,Kings 10,,kynges 10
A00918,132,0,Jeremiah 6,,Ieremy 6
A00918,396,0,Job 21,,Iob 21
A02379,8,0,Joel 51,,il 51
A02379,38,0,Job 18,,Io 18
A02379,39,0,Matthew 20,,Mat 20
A02379,43,0,Luke 12,,Luce 12
A02379,81,0,Deuteronomy 17,,Deutero 17
A02379,82,0,Romans 13,,Romanos 13
A02379,158,0,Revelation 4.12,,re 4 12
A02379,158,1,2 Chronicles 24,,2 Paralip 24
A02379,159,0,Revelation 4.18,,re 4 18
A02379,161,0,2 Chronicles 32,,2 Paralip 32
A02379,193,0,Romans 13,,Romanos 13
A02379,227,0,1 Chronicles 39,,1 Paralip 39
A02882,0,0,Ephesians 6,,Ephesians 6
A02882,34,0,Matthew 12,,Mathew 12
A02882,89,0,Ecclesiastes 3,,Ecclesiast 3
A02882,95,0,Ephesians 5,,Ephesians 5
A02882,106,0,Matthew 5,,Matthew 5
A02882,123,0,Philippians 2,,Philyppians 2
A02882,126,0,Genesis 4,,Geneses 4
A02882,131,0,Matthew 19,,Matthew 19
A02882,135,0,Matthew 5,,Matthew 5
A02882,143,0,Corinthians 6,,Corinthians 6
A02882,144,0,Thessalonians 4,,Thessalonians 4
A02882,146,0,Ephesians 5,,Ephesians 5
A02882,151,0,Corinthians 6,,Corinthyans 6
A02882,154,0,Corinthians 6,,Corinthyans 6
A02882,156,0,Hebrews 13,,Hebrues 13
A02882,158,0,Corinthians 10,,Corin 10
A02882,160,0,Genesis 20; Genesis 6,,Gene 20 & 6
A02882,162,0,Kings 11,,kynges 11
A02882,173,0,Joshua 7,,Iosue 7
A02882,174,0,Ephesians 4,,Ephesians 4
A02882,180,0,Daniel 13,,Danyell 13
A02882,181,0,Ephesians 4,,Ephesyans 4
A02882,185,0,Matthew 18,,Mathew 18
A02882,194,0,Exodus 20,,Exo 20
A02882,201,0,Ephesians 5,,Ephesians 5
A02882,201,1,Colossians 3,,Collos 3
A02882,203,0,Kings 16,,kynges 16
A02882,210,0,John 7,,Ihon 7
A02882,214,0,John 4,,Ihon 4
A02882,221,0,Hebrews 11,,Hebrues 11
A02882,222,0,John 4,,Ihon 4
A02882,232,0,John 5,,Ihon 5
A02882,238,0,Matthew 10,,Mat 10
A02882,241,0,Corinthians 5,,Corinthians 5
A02882,249,0,Matthew 6,,Mathew 6
A02882,255,0,Matthew 8,,Mathew 8
